NODENAME;AVG.FREQ;DEF.FREQ;TIME;CPI;TPI;GBS;DC-NODE-POWER;DRAM-POWER;PCK-POWER;CYCLES;INSTRUCTIONS;GFLOPS;L1_MISSES;L2_MISSES;L3_MISSES;SP_SINGLE;SP_128;SP_256;SP_512;DP_SINGLE;DP_128;DP_256;DP_512;FIRST_EVENT;LEVEL;SIZE;ITERATIONS
cmp2538;984000;2100000;1.001716;0.345521;0.047087;0.124054;151.954676;13.281972;111.604804;9790986466;28336918881;0.000000;0;0;0;0;0;0;0;89;0;0;0;1;1;1;80
cmp2539;984000;2100000;1.003113;0.356482;0.060248;0.153765;153.180809;12.443309;114.432909;9799464256;27489342725;0.000000;0;0;0;0;0;0;0;66;0;0;0;1;1;1;80
cmp2551;984000;2100000;1.001701;0.345192;0.047884;0.126377;151.335134;12.619982;112.956844;9798919601;28386835806;0.000000;0;0;0;0;0;0;0;66;0;0;0;1;1;1;80
cmp2537;2088000;2100000;2.239009;0.346822;0.278708;0.976066;231.838017;7.470225;117.929619;29200685438;84194993282;0.000000;0;0;0;0;0;0;0;226;0;0;0;1;1;1;40
cmp2543;2088600;2100000;1.001181;0.350258;0.026957;0.148459;236.175477;13.271613;189.258176;20736626943;59203827562;0.000000;0;0;0;0;0;0;0;79;0;0;0;1;1;1;90
cmp2544;2088300;2100000;1.001109;0.345440;0.022968;0.128217;225.532717;12.272473;180.453997;20728815601;60007069049;0.000000;0;0;0;0;0;0;0;66;0;0;0;1;1;1;90
cmp2550;984000;2100000;1.001870;0.347625;0.047601;0.124660;149.368651;10.018530;110.170997;9793337010;28172133810;0.000000;0;0;0;0;0;0;0;53;0;0;0;1;1;1;90
cmp2549;984000;2100000;1.001507;0.349454;0.049006;0.127746;143.547332;11.568917;104.013581;9795878989;28031965911;0.000000;0;0;0;0;0;0;0;66;0;0;0;1;1;1;90
cmp2540;984000;2100000;1.001654;0.346278;0.054558;0.143442;154.242752;11.391986;112.533903;9791737904;28277090801;0.000000;0;0;0;0;0;0;0;106;0;0;0;1;1;1;90
cmp2552;1095300;2100000;1.001591;0.345610;0.037980;0.100096;131.405282;10.305617;92.794734;9795840906;28343667273;0.000000;0;0;0;0;0;0;0;79;0;0;0;1;1;1;90
